"DEPTH","PRES","TEMP","potemperature","CNDC","PSAL","sigma_t","sbox0Mm/Kg","ph","ph","flECO-AFL","CStarTr0","par","upoly0","gsw_saA0","gsw_ctA0","gsw_densityA0","gsw_sigma0A0","gsw_ptA0","flag"
"2.971","3.0","9.3109","9.3107","2.813696","25.5086","19.6537","298.332","8.208","8.208","1.9685","81.947","1090.2","4.3300915","25.6319","9.4608","1019.6707","19.6569","9.3107","0.0"
"3.968","4.0","9.3104","9.31","2.813678","25.5084","19.6536","296.939","8.206","8.206","2.0724","82.3527","405.46","4.3063793","25.6317","9.4602","1019.6752","19.6568","9.31","0.0"
"4.95","5.0","9.303","9.3025","2.815321","25.5292","19.6708","293.437","8.206","8.206","2.3119","82.5215","218.02","4.2979755","25.6531","9.4522","1019.6975","19.6745","9.3025","0.0"
"5.956","6.0","9.3012","9.3006","2.816212","25.5394","19.6791","291.915","8.206","8.206","2.3716","82.5869","163.4","4.2984915","25.6629","9.4502","1019.71","19.6824","9.3006","0.0"
"6.936","7.0","9.2986","9.2979","2.818841","25.5586","19.6944","288.833","8.206","8.206","2.3747","82.6516","109.96","4.2984915","25.6908","9.447","1019.7366","19.7044","9.2979","0.0"
"7.936","8.0","9.1305","9.1298","2.936529","26.8025","20.689","288.037","8.201","8.201","2.218","85.8888","74.741","3.8237796","27.0029","9.2559","1020.7845","20.7479","9.1298","0.0"
"8.923","9.0","9.0603","9.0594","2.998989","27.545","21.2788","286.68","8.198","8.198","1.536","88.3173","54.064","3.4377298","27.6908","9.1738","1021.3339","21.2927","9.0594","0.0"
"9.913","10.0","9.0061","9.0051","3.051227","28.1167","21.7331","284.834","8.193","8.193","1.4773","91.3425","43.344","3.3414145","28.2657","9.1098","1021.7934","21.7476","9.0051","0.0"
"10.91","11.0","8.9849","8.9838","3.064751","28.284","21.8669","283.72","8.193","8.193","1.4323","91.6085","34.43","3.101299","28.4206","9.0858","1021.9215","21.8712","8.9838","0.0"
"11.896","12.0","8.9589","8.9578","3.078049","28.4401","21.9926","282.676","8.19","8.19","1.3257","92.7084","27.896","3.1106431","28.5772","9.057","1022.0518","21.9968","8.9578","0.0"
"12.894","13.0","8.9506","8.9494","3.082422","28.494","22.036","281.551","8.18","8.18","1.263","92.9205","22.276","3.0293596","28.6284","9.0477","1022.0974","22.0378","8.9494","0.0"
"13.876","14.0","8.9452","8.9438","3.08657","28.5374","22.0707","278.992","8.179","8.179","1.189","93.1233","17.897","3.0248821","28.6749","9.0414","1022.1389","22.0749","8.9438","0.0"
"14.88","15.0","8.9276","8.9261","3.091033","28.5987","22.1212","277.619","8.177","8.177","1.1812","93.3153","14.496","3.0133462","28.7345","9.0226","1022.1924","22.1238","8.9261","0.0"
"15.86","16.0","8.9093","8.9077","3.093259","28.6347","22.152","276.283","8.169","8.169","1.1203","93.6825","11.513","3.0258906","28.7718","9.0035","1022.2286","22.1554","8.9077","0.0"
"16.856","17.0","8.8441","8.8424","3.100221","28.759","22.2586","275.26","8.162","8.162","1.0056","94.0079","9.5686","3.0248821","28.8959","8.9356","1022.3394","22.2615","8.8424","0.0"
"17.851","18.0","8.8352","8.8335","3.100924","28.7748","22.2722","274.145","8.16","8.16","0.928","93.9937","7.6861","3.0172589","28.9099","8.9264","1022.3561","22.2737","8.8335","0.0"
"18.832","19.0","8.821","8.8192","3.101147","28.788","22.2846","272.944","8.16","8.16","0.884","94.0162","6.3191","3.0253568","28.9234","8.9118","1022.3732","22.2862","8.8192","0.0"
"19.838","20.0","8.8066","8.8047","3.101447","28.8017","22.2974","272.52","8.159","8.159","0.8755","94.0738","5.2282","3.0248821","28.9377","8.897","1022.3911","22.2995","8.8047","0.0"
"20.818","21.0","8.7871","8.7851","3.102858","28.8315","22.3235","271.031","8.155","8.155","0.8594","94.183","4.2384","3.0248821","28.9678","8.8767","1022.4219","22.3257","8.7851","0.0"
"21.814","22.0","8.7818","8.7796","3.10357","28.8422","22.3327","269.621","8.155","8.155","0.8328","94.3313","3.5425","3.0126269","28.9791","8.8711","1022.436","22.3353","8.7796","0.0"
"22.807","23.0","8.7693","8.767","3.103323","28.8504","22.3409","269.039","8.152","8.152","0.8296","94.6299","2.9168","2.9995618","28.9863","8.8583","1022.448","22.3427","8.767","0.0"
"23.791","24.0","8.741","8.7387","3.102526","28.8638","22.3555","268.652","8.148","8.148","0.812","94.8848","2.4386","2.8616257","29.0007","8.8294","1022.4679","22.358","8.7387","0.0"
"24.794","25.0","8.7285","8.7261","3.103702","28.8857","22.3743","267.994","8.145","8.145","0.7572","94.9437","2.0452","2.8216727","29.0226","8.8164","1022.4913","22.3769","8.7261","0.0"
"25.773","26.0","8.7213","8.7188","3.105943","28.9132","22.3969","265.616","8.146","8.146","0.709","95.0627","1.7093","2.8501718","29.0512","8.8086","1022.5192","22.4002","8.7188","0.0"
"26.776","27.0","8.7123","8.7097","3.10767","28.9381","22.4176","262.332","8.144","8.144","0.691","94.9984","1.4481","2.8381033","29.076","8.7991","1022.5444","22.4208","8.7097","0.0"
"27.757","28.0","8.6944","8.6917","3.109313","28.9692","22.4446","259.254","8.141","8.141","0.6353","95.1707","1.2168","2.7754595","29.1072","8.7804","1022.5759","22.4477","8.6917","0.0"
"28.759","29.0","8.6528","8.65","3.112427","29.0351","22.5021","258.511","8.137","8.137","0.5933","95.0744","1.0384","2.8903069","29.1733","8.7374","1022.6379","22.5051","8.65","0.0"
"29.741","30.0","8.627","8.6241","3.115465","29.0884","22.5475","258.635","8.123","8.123","0.4745","94.9723","0.88215","2.9712837","29.2256","8.7104","1022.687","22.5496","8.6241","0.0"
"30.739","31.0","8.6209","8.618","3.116346","29.1017","22.5588","256.016","8.114","8.114","0.4105","94.8838","0.85224","3.0228732","29.2393","8.704","1022.7031","22.5611","8.618","0.0"
"31.729","32.0","8.6165","8.6135","3.116986","29.111","22.5667","253.547","8.111","8.111","0.3772","94.8755","0.77722","3.0059462","29.2492","8.6994","1022.716","22.5694","8.6135","0.0"
"32.722","33.0","8.6126","8.6094","3.117465","29.1185","22.5731","252.36","8.109","8.109","0.3617","94.8653","0.65806","3.0243654","29.257","8.6952","1022.7272","22.5761","8.6094","0.0"
"33.709","34.0","8.6065","8.6033","3.118279","29.131","22.5838","250.903","8.107","8.107","0.361","94.8611","0.55973","3.0248821","29.27","8.6888","1022.7428","22.5871","8.6033","0.0"
"34.705","35.0","8.5998","8.5964","3.119173","29.1454","22.596","249.646","8.103","8.103","0.3612","94.8692","0.47284","3.0248821","29.2845","8.6816","1022.7596","22.5994","8.5964","0.0"
"35.692","36.0","8.5892","8.5858","3.120401","29.1663","22.6138","248.352","8.101","8.101","0.3512","94.8794","0.40173","3.0248821","29.3056","8.6706","1022.7822","22.6173","8.5858","0.0"
"36.688","37.0","8.5806","8.5771","3.121509","29.1845","22.6293","247.455","8.098","8.098","0.3302","94.8364","0.33685","3.0176027","29.3238","8.6615","1022.8022","22.6328","8.577","0.0"
