"DEPTH","PRES","TEMP","potemperature","CNDC","PSAL","sigma_t","sbox0Mm/Kg","ph","ph","flECO-AFL","CStarTr0","par","upoly0","gsw_saA0","gsw_ctA0","gsw_densityA0","gsw_sigma0A0","gsw_ptA0","flag"
"2.975","3.0","9.2269","9.2266","2.896087","26.3931","20.3557","300.156","8.231","8.231","1.6412","84.2282","1705.1","4.1939545","26.5223","9.3615","1020.3743","20.3605","9.2266","0.0"
"3.965","4.0","9.2223","9.2219","2.897301","26.409","20.3687","296.14","8.231","8.231","1.7672","84.3472","863.27","3.9364891","26.5375","9.3565","1020.3913","20.373","9.2219","0.0"
"4.958","5.0","9.1848","9.1843","2.911555","26.5715","20.5009","290.7","8.227","8.227","1.9006","84.7971","434.38","3.9363143","26.7093","9.3157","1020.5348","20.5118","9.1843","0.0"
"5.95","6.0","9.0892","9.0887","2.968182","27.2056","21.0096","287.843","8.22","8.22","1.9763","86.1667","308.86","3.8220971","27.3556","9.2087","1021.0554","21.0278","9.0887","0.0"
"6.94","7.0","9.0588","9.0581","3.004965","27.6212","21.3385","286.575","8.204","8.204","1.8125","88.4646","211.51","3.4603786","27.753","9.1714","1021.3733","21.3412","9.0581","0.0"
"7.933","8.0","9.0348","9.034","3.028848","27.8666","21.5336","287.342","8.198","8.198","1.7247","89.4814","150.01","3.3757615","28.0151","9.143","1021.5852","21.5486","9.034","0.0"
"8.925","9.0","8.9742","8.9733","3.062906","28.2719","21.8591","287.663","8.195","8.195","1.4579","91.2423","107.82","3.0708253","28.4111","9.0754","1021.9065","21.8653","8.9733","0.0"
"9.914","10.0","8.9543","8.9533","3.069319","28.3586","21.9296","287.624","8.198","8.198","1.1521","92.101","81.87","3.0781093","28.4923","9.0539","1021.9772","21.9314","8.9533","0.0"
"10.909","11.0","8.9511","8.9501","3.069864","28.366","21.9359","287.503","8.198","8.198","1.1113","92.4087","63.577","3.0257492","28.5","9.0505","1021.9882","21.9378","8.9501","0.0"
"11.897","12.0","8.9515","8.9504","3.070041","28.3664","21.9361","287.462","8.198","8.198","1.1195","92.3569","51.199","3.0248821","28.501","9.0508","1021.9935","21.9386","8.9504","0.0"
"12.891","13.0","8.947","8.9457","3.070522","28.3742","21.9429","286.534","8.198","8.198","1.0987","92.4227","41.194","3.0332649","28.5092","9.046","1022.0051","21.9456","8.9457","0.0"
"13.884","14.0","8.9426","8.9412","3.070881","28.3808","21.9487","284.264","8.198","8.198","1.0856","92.4869","33.702","3.025064","28.516","9.0413","1022.0157","21.9516","8.9412","0.0"
"14.872","15.0","8.94","8.9386","3.071627","28.3881","21.9548","282.257","8.198","8.198","1.0858","92.4939","27.07","3.0248821","28.5253","9.0385","1022.0278","21.9592","8.9386","0.0"
"15.867","16.0","8.8968","8.8953","3.082209","28.5287","22.071","280.844","8.193","8.193","1.0483","92.8662","22.148","3.0248821","28.6683","8.9925","1022.15","22.0767","8.8953","0.0"
"16.854","17.0","8.875","8.8733","3.087569","28.6043","22.1332","279.273","8.185","8.185","0.9667","93.1854","18.045","3.0248821","28.7406","8.9693","1022.214","22.1362","8.8733","0.0"
"17.848","18.0","8.8668","8.865","3.090927","28.6434","22.1649","278.245","8.177","8.177","0.8866","93.5214","14.802","3.0248821","28.7814","8.9603","1022.2515","22.1691","8.865","0.0"
"18.841","19.0","8.8535","8.8517","3.095881","28.7045","22.2147","277.64","8.174","8.174","0.8594","93.591","12.19","3.0248821","28.8427","8.9458","1022.3057","22.2188","8.8517","0.0"
"19.829","20.0","8.845","8.8431","3.097996","28.7343","22.2391","276.181","8.17","8.17","0.8402","93.8206","9.928","3.0710337","28.871","8.9367","1022.3336","22.242","8.8431","0.0"
"20.825","21.0","8.8444","8.8424","3.100541","28.7587","22.2583","275.012","8.17","8.17","0.8168","93.8904","8.2017","2.8636861","28.8972","8.9356","1022.3586","22.2625","8.8424","0.0"
"21.813","22.0","8.8281","8.826","3.101436","28.7823","22.2791","274.253","8.169","8.169","0.8002","94.0357","6.6994","3.0021501","28.9192","8.9188","1022.3827","22.282","8.826","0.0"
"22.805","23.0","8.8175","8.8152","3.101458","28.7907","22.2872","273.598","8.163","8.163","0.7991","94.0195","5.5111","3.024899","28.9277","8.9078","1022.3954","22.2902","8.8152","0.0"
"23.8","24.0","8.8143","8.8119","3.101622","28.7942","22.2904","272.547","8.16","8.16","0.7922","94.0957","4.5654","2.9690447","28.9315","8.9044","1022.4035","22.2936","8.8119","0.0"
"24.786","25.0","8.8056","8.8031","3.102242","28.8071","22.3018","270.579","8.16","8.16","0.7695","94.2499","3.7478","2.9768729","28.9446","8.8953","1022.4195","22.3051","8.8031","0.0"
"25.78","26.0","8.7929","8.7904","3.102962","28.8245","22.3172","269.138","8.159","8.159","0.7493","94.2513","3.1228","2.9814088","28.9619","8.8822","1022.4393","22.3204","8.7904","0.0"
"26.773","27.0","8.7587","8.7561","3.103937","28.8621","22.3516","267.078","8.153","8.153","0.7161","94.3393","2.591","2.9456124","28.9994","8.847","1022.4781","22.3545","8.7561","0.0"
"27.761","28.0","8.7423","8.7396","3.105268","28.8889","22.3749","265.388","8.15","8.15","0.6344","94.413","2.1486","2.8963928","29.0261","8.83","1022.5059","22.3777","8.7396","0.0"
"28.758","29.0","8.7185","8.7157","3.107822","28.9338","22.4134","264.316","8.144","8.144","0.6109","94.4112","1.7926","3.0196528","29.0716","8.8052","1022.5493","22.4165","8.7157","0.0"
"29.742","30.0","8.7003","8.6974","3.109063","28.9619","22.4381","263.224","8.14","8.14","0.5521","94.4012","1.4861","3.0032182","29.0989","8.7863","1022.5778","22.4404","8.6974","0.0"
"30.74","31.0","8.6959","8.6929","3.10939","28.9682","22.4436","261.744","8.137","8.137","0.537","94.4071","1.2492","3.0240231","29.1055","8.7816","1022.5881","22.4462","8.6929","0.0"
"31.727","32.0","8.6881","8.685","3.110005","28.9803","22.4542","259.815","8.136","8.136","0.5327","94.475","1.0467","3.0130744","29.1179","8.7735","1022.6035","22.457","8.685","0.0"
"32.722","33.0","8.6732","8.67","3.111338","29.005","22.4756","257.565","8.134","8.134","0.5032","94.4118","0.8762","3.0161881","29.1435","8.758","1022.6302","22.4791","8.67","0.0"
"33.71","34.0","8.652","8.6487","3.113246","29.0424","22.508","256.013","8.128","8.128","0.4669","94.3932","0.73401","3.0130403","29.1803","8.736","1022.6664","22.5108","8.6487","0.0"
"34.706","35.0","8.6334","8.6301","3.115133","29.0763","22.5371","255.322","8.122","8.122","0.4437","94.3723","0.6128","3.0247467","29.2147","8.7166","1022.7005","22.5403","8.6301","0.0"
"35.693","36.0","8.6153","8.6119","3.11659","29.1068","22.5635","254.288","8.117","8.117","0.3903","94.4812","0.51204","3.0248821","29.2444","8.6978","1022.7308","22.566","8.6119","0.0"
"36.686","37.0","8.6142","8.6106","3.11683","29.1092","22.5656","251.432","8.117","8.117","0.3895","94.5585","0.42863","3.0028276","29.2474","8.6965","1022.7379","22.5685","8.6106","0.0"
"37.678","38.0","8.6082","8.6045","3.11758","29.1212","22.5759","247.361","8.114","8.114","0.3818","94.5837","0.3576","3.0161526","29.2598","8.6902","1022.753","22.579","8.6045","0.0"
"38.663","39.0","8.5887","8.5849","3.120057","29.1606","22.6095","243.518","8.111","8.111","0.3579","94.511","0.29877","3.0252461","29.3012","8.6698","1022.7926","22.6141","8.5849","0.0"
"39.667","40.0","8.5625","8.5586","3.123476","29.2188","22.6587","241.162","8.099","8.099","0.3318","94.2807","0.2507","3.0248821","29.358","8.6424","1022.8452","22.6621","8.5586","0.0"
