"DEPTH","PRES","TEMP","potemperature","CNDC","PSAL","sigma_t","sbox0Mm/Kg","ph","ph","flECO-AFL","CStarTr0","par","upoly0","gsw_saA0","gsw_ctA0","gsw_densityA0","gsw_sigma0A0","gsw_ptA0","flag"
"2.973","3.0","8.6009","8.6006","3.128645","29.255","22.6816","274.81","8.18","8.18","0.7312","92.6909","613.58","3.0248821","29.396","8.6842","1022.6994","22.6857","8.6006","0.0"
"3.968","4.0","8.6032","8.6029","3.128498","29.251","22.6781","274.878","8.18","8.18","0.7325","92.6927","221.64","3.0316501","29.3921","8.6864","1022.7006","22.6823","8.6029","0.0"
"4.959","5.0","8.6027","8.6022","3.128475","29.2509","22.6781","274.855","8.18","8.18","0.7761","92.6768","158.61","3.0335166","29.3919","8.6858","1022.7051","22.6822","8.6022","0.0"
"5.947","6.0","8.6015","8.601","3.128517","29.2519","22.6791","275.092","8.18","8.18","0.7813","92.706","124.78","3.0243084","29.3928","8.6845","1022.7106","22.6832","8.601","0.0"
"6.945","7.0","8.6027","8.6021","3.128545","29.2507","22.678","274.711","8.18","8.18","0.7656","92.6483","100.18","3.0248821","29.3917","8.6856","1022.7142","22.6821","8.6021","0.0"
"7.928","8.0","8.6031","8.6023","3.128597","29.2506","22.6778","274.301","8.18","8.18","0.8002","92.6607","76.958","3.0700474","29.3915","8.6859","1022.7185","22.6819","8.6023","0.0"
"8.927","9.0","8.5984","8.5975","3.12865","29.2547","22.6817","273.904","8.18","8.18","0.7625","92.703","61.472","3.0584726","29.3955","8.681","1022.7269","22.6857","8.5975","0.0"
"9.914","10.0","8.5958","8.5948","3.12871","29.2571","22.684","273.261","8.18","8.18","0.7432","92.7674","49.499","3.0244925","29.3978","8.6783","1022.7337","22.6879","8.5948","0.0"
"10.909","11.0","8.5916","8.5905","3.128717","29.2603","22.6871","272.522","8.176","8.176","0.7484","92.8181","39.823","3.0248821","29.4009","8.6739","1022.7413","22.6909","8.5905","0.0"
"11.899","12.0","8.5833","8.5822","3.128675","29.2665","22.6931","272.133","8.175","8.175","0.7137","92.8814","31.834","3.0332718","29.4069","8.6654","1022.7518","22.6968","8.5822","0.0"
"12.891","13.0","8.5756","8.5744","3.1286","29.2718","22.6984","271.9","8.175","8.175","0.7141","92.9429","26.305","3.0248747","29.4121","8.6574","1022.7615","22.702","8.5744","0.0"
"13.882","14.0","8.5735","8.5721","3.128617","29.2733","22.6998","271.419","8.175","8.175","0.7374","92.9413","21.809","3.0248821","29.4137","8.6551","1022.7676","22.7035","8.5721","0.0"
"14.873","15.0","8.5719","8.5705","3.128647","29.2744","22.7009","270.728","8.175","8.175","0.7514","92.935","17.84","3.0248821","29.4148","8.6535","1022.7734","22.7047","8.5705","0.0"
"15.867","16.0","8.5669","8.5654","3.128637","29.2781","22.7045","270.074","8.172","8.172","0.7142","92.9755","14.77","3.0248821","29.4185","8.6483","1022.7815","22.7082","8.5654","0.0"
"16.853","17.0","8.5603","8.5587","3.128755","29.2843","22.7103","269.414","8.171","8.171","0.6963","93.0793","12.297","3.2729163","29.4247","8.6415","1022.7919","22.714","8.5587","0.0"
"17.852","18.0","8.5545","8.5528","3.128952","29.2909","22.7163","269.333","8.17","8.17","0.6817","93.1415","10.327","3.0588765","29.4312","8.6354","1022.8024","22.7199","8.5528","0.0"
"18.837","19.0","8.5516","8.5498","3.12904","29.2937","22.719","269.367","8.17","8.17","0.6984","93.163","8.5478","3.023458","29.4341","8.6323","1022.8096","22.7226","8.5498","0.0"
"19.831","20.0","8.5505","8.5485","3.129107","29.2949","22.72","269.219","8.168","8.168","0.6824","93.1642","7.1397","3.0333462","29.4353","8.6311","1022.8153","22.7237","8.5485","0.0"
"20.827","21.0","8.5512","8.5492","3.129151","29.2942","22.7194","269.141","8.167","8.167","0.6875","93.1818","6.0003","3.0253291","29.4347","8.6317","1022.8193","22.7232","8.5491","0.0"
"21.811","22.0","8.5513","8.5492","3.129246","29.2946","22.7197","268.956","8.167","8.167","0.6761","93.162","4.942","3.0248821","29.4351","8.6317","1022.8242","22.7235","8.5492","0.0"
"22.805","23.0","8.5495","8.5473","3.129283","29.2961","22.7211","268.335","8.167","8.167","0.6589","93.2332","4.0923","3.0248821","29.4366","8.6298","1022.8302","22.7249","8.5473","0.0"
"23.803","24.0","8.5475","8.5452","3.129317","29.2977","22.7226","268.031","8.166","8.166","0.6523","93.2882","3.4714","3.0248821","29.4381","8.6276","1022.8363","22.7264","8.5452","0.0"
"24.782","25.0","8.5407","8.5383","3.129109","29.301","22.7262","267.59","8.166","8.166","0.6084","93.3872","2.8701","3.0248821","29.4412","8.6206","1022.8442","22.7298","8.5383","0.0"
"25.782","26.0","8.5362","8.5337","3.129025","29.3033","22.7287","267.464","8.166","8.166","0.6401","93.3308","2.3991","3.0248821","29.4436","8.616","1022.8513","22.7323","8.5337","0.0"
"26.774","27.0","8.5325","8.5299","3.129012","29.3059","22.7312","267.343","8.166","8.166","0.5947","93.424","2.016","3.0248821","29.4461","8.6121","1022.8584","22.7348","8.5299","0.0"
"27.762","28.0","8.5329","8.5302","3.129017","29.3051","22.7305","267.015","8.163","8.163","0.6487","93.4356","1.6873","3.0248821","29.4453","8.6124","1022.8624","22.7342","8.5302","0.0"
"28.756","29.0","8.5324","8.5296","3.129034","29.3052","22.7307","266.934","8.162","8.162","0.5772","93.4315","1.4023","3.0653291","29.4455","8.6118","1022.8671","22.7343","8.5296","0.0"
"29.746","30.0","8.5285","8.5257","3.129096","29.3087","22.7339","266.63","8.161","8.161","0.5647","93.4662","1.1712","3.0254664","29.4489","8.6078","1022.8749","22.7375","8.5257","0.0"
"30.739","31.0","8.5262","8.5232","3.129159","29.3109","22.736","266.426","8.161","8.161","0.5727","93.5306","0.98564","3.0997994","29.451","8.6053","1022.8816","22.7396","8.5232","0.0"
"31.73","32.0","8.525","8.5219","3.129241","29.3122","22.7372","266.244","8.161","8.161","0.5954","93.5528","0.82661","3.0233057","29.4525","8.604","1022.8875","22.7409","8.5219","0.0"
"32.72","33.0","8.5225","8.5193","3.129274","29.3143","22.7392","265.488","8.161","8.161","0.5588","93.5607","0.68451","3.0474377","29.4545","8.6013","1022.894","22.7428","8.5193","0.0"
"33.714","34.0","8.5202","8.517","3.129297","29.316","22.7408","264.675","8.161","8.161","0.5431","93.6047","0.57877","3.0253944","29.4562","8.599","1022.9002","22.7445","8.517","0.0"
"34.701","35.0","8.5114","8.5081","3.129374","29.3238","22.7482","263.799","8.16","8.16","0.5446","93.6915","0.48352","3.0248821","29.4639","8.5899","1022.912","22.7518","8.5081","0.0"
"35.699","36.0","8.5029","8.4995","3.129417","29.331","22.7551","262.435","8.157","8.157","0.5105","93.7479","0.40505","3.0248821","29.471","8.5811","1022.9234","22.7585","8.4995","0.0"
"36.685","37.0","8.4946","8.491","3.129404","29.3375","22.7614","260.832","8.156","8.156","0.4768","93.836","0.33526","3.0248821","29.4775","8.5725","1022.9342","22.7647","8.491","0.0"
"37.679","38.0","8.4789","8.4753","3.129496","29.3512","22.7743","260.122","8.154","8.154","0.4541","94.0366","0.28083","3.0248821","29.4911","8.5564","1022.9517","22.7776","8.4753","0.0"
"38.671","39.0","8.4623","8.4586","3.130349","29.3734","22.794","259.456","8.152","8.152","0.3873","94.2613","0.23485","3.0248821","29.5134","8.5393","1022.976","22.7973","8.4586","0.0"
"39.662","40.0","8.4542","8.4504","3.131284","29.3894","22.8077","259.04","8.152","8.152","0.3544","94.3206","0.19428","3.0248821","29.5295","8.5308","1022.9943","22.8111","8.4504","0.0"
"40.648","41.0","8.4478","8.4439","3.13208","29.4027","22.819","258.653","8.152","8.152","0.3128","94.4474","0.16187","3.0555305","29.5428","8.524","1023.0101","22.8224","8.4439","0.0"
"41.646","42.0","8.445","8.441","3.132452","29.4083","22.8238","258.347","8.152","8.152","0.3225","94.4265","0.13522","3.0171812","29.5486","8.521","1023.0197","22.8273","8.441","0.0"
"42.639","43.0","8.4426","8.4385","3.132996","29.4154","22.8297","258.105","8.152","8.152","0.3084","94.389","0.11261","3.1195631","29.5559","8.5183","1023.0303","22.8333","8.4385","0.0"
"43.623","44.0","8.4399","8.4358","3.133675","29.424","22.8368","258.007","8.152","8.152","0.299","94.4644","0.091159","3.0066497","29.5647","8.5155","1023.0421","22.8406","8.4358","0.0"
"44.619","45.0","8.4377","8.4334","3.134373","29.4327","22.844","257.828","8.152","8.152","0.2847","94.4992","0.075498","3.1214542","29.5735","8.513","1023.0538","22.8478","8.4334","0.0"
"45.612","46.0","8.4364","8.432","3.134785","29.4377","22.8481","257.774","8.152","8.152","0.2826","94.4062","0.061868","3.0273805","29.5785","8.5115","1023.0626","22.8519","8.432","0.0"
"46.598","47.0","8.4358","8.4313","3.135435","29.4442","22.8532","257.592","8.152","8.152","0.2892","94.3788","0.048263","3.040803","29.5853","8.5107","1023.0725","22.8573","8.4313","0.0"
"47.595","48.0","8.434","8.4294","3.136244","29.4538","22.861","257.314","8.152","8.152","0.2736","94.2004","0.038661","3.0496917","29.5949","8.5086","1023.0848","22.865","8.4294","0.0"
"48.581","49.0","8.4326","8.428","3.136759","29.4598","22.8659","257.18","8.152","8.152","0.2724","94.2836","0.029953","3.0863369","29.601","8.507","1023.0944","22.87","8.4279","0.0"
"49.576","50.0","8.4315","8.4268","3.13752","29.4682","22.8726","257.369","8.152","8.152","0.2714","94.1484","0.022627","3.0515277","29.6094","8.5057","1023.1057","22.8767","8.4268","0.0"
"50.567","51.0","8.4307","8.4259","3.137949","29.473","22.8765","257.187","8.152","8.152","0.2727","93.8533","0.015399","3.0252798","29.6142","8.5048","1023.1141","22.8805","8.4259","0.0"
"51.556","52.0","8.4304","8.4254","3.138193","29.4754","22.8785","256.811","8.152","8.152","0.2708","93.5384","0.0097871","3.0248821","29.6166","8.5042","1023.1207","22.8825","8.4254","0.0"
"52.55","53.0","8.4302","8.4252","3.138343","29.4767","22.8794","256.756","8.152","8.152","0.2716","93.8151","0.0046989","3.0248821","29.6179","8.504","1023.1263","22.8836","8.4252","0.0"
"53.544","54.0","8.4303","8.4252","3.138397","29.4768","22.8795","256.77","8.152","8.152","0.2922","93.8289","0.0011157","3.0248821","29.618","8.504","1023.1309","22.8836","8.4252","0.0"
"54.528","55.0","8.4299","8.4246","3.13863","29.479","22.8813","256.711","8.152","8.152","0.2789","93.8136","-6.818e-05","3.0630198","29.6204","8.5034","1023.1375","22.8856","8.4246","0.0"
"55.525","56.0","8.4293","8.424","3.138836","29.4813","22.8832","256.619","8.152","8.152","0.2723","93.6959","8.1864e-08","3.0595515","29.6227","8.5027","1023.1439","22.8874","8.424","0.0"
"56.516","57.0","8.429","8.4235","3.138998","29.4828","22.8845","256.664","8.152","8.152","0.2963","93.6934","1e-12","3.1400263","29.6242","8.5022","1023.1497","22.8887","8.4235","0.0"
